order_book_id,datetime,trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
000001.XSHE,2022-08-25 14:38:30,2022-08-25,12.4,12.6,12.61,12.3,12.4,84392017.0,1051354723.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,140848.0,382700.0,207800.0,261800.0,593965.0,39900.0,167900.0,138200.0,89700.0,94700.0,0.016129032258064502,51563.0
000001.XSHE,2022-08-25 14:38:33,2022-08-25,12.4,12.6,12.61,12.3,12.4,84414417.0,1051637150.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,121700.0,406200.0,208000.0,263100.0,593865.0,43200.0,171300.0,131700.0,89300.0,94700.0,0.016129032258064502,51575.0
000001.XSHE,2022-08-25 14:38:36,2022-08-25,12.4,12.6,12.62,12.3,12.4,84653717.0,1054653905.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,27300.0,76700.0,401900.0,208100.0,264700.0,173300.0,131700.0,89300.0,94700.0,167800.0,0.016129032258064502,51656.0
000001.XSHE,2022-08-25 14:38:39,2022-08-25,12.4,12.6,12.62,12.3,12.4,84705717.0,1055309044.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,36000.0,80500.0,397900.0,208100.0,273500.0,167200.0,131700.0,89300.0,94700.0,167800.0,0.016129032258064502,51683.0
000001.XSHE,2022-08-25 14:38:42,2022-08-25,12.4,12.6,12.62,12.3,12.4,84726317.0,1055568604.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,29300.0,167600.0,395900.0,207300.0,273800.0,168000.0,132100.0,89300.0,94700.0,178400.0,0.016129032258064502,51691.0
000001.XSHE,2022-08-25 14:38:45,2022-08-25,12.4,12.6,12.62,12.3,12.4,84772517.0,1056150692.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,41600.0,177100.0,396900.0,206500.0,314300.0,185700.0,131900.0,89200.0,95500.0,180400.0,0.016129032258064502,51719.0
000001.XSHE,2022-08-25 14:38:48,2022-08-25,12.4,12.6,12.62,12.3,12.4,84816017.0,1056698782.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,36700.0,208800.0,398000.0,206500.0,314300.0,184700.0,131900.0,88900.0,96500.0,180400.0,0.016129032258064502,51738.0
000001.XSHE,2022-08-25 14:38:51,2022-08-25,12.4,12.6,12.62,12.3,12.4,84877117.0,1057468754.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,199200.0,419000.0,206500.0,314300.0,605665.0,200.0,183900.0,128400.0,88900.0,96500.0,0.016129032258064502,51769.0
000001.XSHE,2022-08-25 14:38:54,2022-08-25,12.4,12.6,12.62,12.3,12.4,84886217.0,1057583404.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,32500.0,214700.0,421500.0,206500.0,317300.0,182900.0,127800.0,87900.0,96500.0,180600.0,0.016129032258064502,51782.0
000001.XSHE,2022-08-25 14:38:57,2022-08-25,12.4,12.6,12.62,12.3,12.4,84960017.0,1058513414.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,213300.0,431000.0,206600.0,318300.0,606965.0,2500.0,189100.0,127800.0,96400.0,96500.0,0.016129032258064502,51811.0
000001.XSHE,2022-08-25 14:39:00,2022-08-25,12.4,12.6,12.62,12.3,12.4,85000717.0,1059026398.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.59,12.58,12.57,12.56,12.55,3400.0,209200.0,430400.0,207000.0,319300.0,188900.0,127800.0,96400.0,96500.0,161300.0,0.016129032258064502,51829.0
000001.XSHE,2022-08-25 14:39:03,2022-08-25,12.4,12.6,12.62,12.3,12.4,85025817.0,1059342690.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,222400.0,436300.0,228200.0,319300.0,619265.0,38200.0,188900.0,127800.0,94600.0,92500.0,0.016129032258064502,51854.0
000001.XSHE,2022-08-25 14:39:06,2022-08-25,12.4,12.61,12.62,12.3,12.4,85079417.0,1060018416.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,239600.0,451700.0,228700.0,323900.0,619165.0,32900.0,189800.0,127800.0,94600.0,92500.0,0.01693548387096766,51883.0
000001.XSHE,2022-08-25 14:39:09,2022-08-25,12.4,12.6,12.62,12.3,12.4,85112217.0,1060431945.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,217700.0,453800.0,229800.0,324900.0,621065.0,31900.0,189800.0,125700.0,94600.0,92500.0,0.016129032258064502,51899.0
000001.XSHE,2022-08-25 14:39:12,2022-08-25,12.4,12.6,12.62,12.3,12.4,85116017.0,1060479830.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,236500.0,456500.0,231700.0,327900.0,623365.0,85000.0,191800.0,125700.0,94600.0,92500.0,0.016129032258064502,51907.0
000001.XSHE,2022-08-25 14:39:15,2022-08-25,12.4,12.6,12.62,12.3,12.4,85140317.0,1060786161.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,220100.0,457500.0,230900.0,330400.0,626665.0,83100.0,201800.0,126200.0,94600.0,91500.0,0.016129032258064502,51923.0
000001.XSHE,2022-08-25 14:39:18,2022-08-25,12.4,12.6,12.62,12.3,12.4,85163617.0,1061079790.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,231400.0,467400.0,229700.0,330400.0,634265.0,119600.0,201800.0,126200.0,95000.0,87700.0,0.016129032258064502,51950.0
000001.XSHE,2022-08-25 14:39:21,2022-08-25,12.4,12.61,12.62,12.3,12.4,85248817.0,1062153953.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,180100.0,467900.0,231200.0,333100.0,646765.0,98700.0,201800.0,126200.0,98000.0,87700.0,0.01693548387096766,51987.0
000001.XSHE,2022-08-25 14:39:24,2022-08-25,12.4,12.6,12.62,12.3,12.4,85273417.0,1062464044.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,193700.0,481000.0,254700.0,334100.0,652065.0,107700.0,201800.0,126200.0,229100.0,84500.0,0.016129032258064502,52009.0
000001.XSHE,2022-08-25 14:39:27,2022-08-25,12.4,12.61,12.62,12.3,12.4,85315317.0,1062992216.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,179500.0,487800.0,257200.0,334100.0,654465.0,112800.0,201800.0,126200.0,229100.0,85500.0,0.01693548387096766,52041.0
000001.XSHE,2022-08-25 14:39:30,2022-08-25,12.4,12.61,12.62,12.3,12.4,85347317.0,1063395723.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,158100.0,487600.0,257000.0,332100.0,664365.0,150000.0,201800.0,125900.0,229100.0,85500.0,0.01693548387096766,52067.0
000001.XSHE,2022-08-25 14:39:33,2022-08-25,12.4,12.61,12.62,12.3,12.4,85358717.0,1063539379.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,162300.0,497300.0,257000.0,333000.0,669565.0,175500.0,202800.0,125900.0,229100.0,85500.0,0.01693548387096766,52077.0
000001.XSHE,2022-08-25 14:39:36,2022-08-25,12.4,12.61,12.62,12.3,12.4,85432017.0,1064463672.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,102100.0,498600.0,238500.0,335200.0,672165.0,187400.0,200400.0,125900.0,229100.0,79500.0,0.01693548387096766,52109.0
000001.XSHE,2022-08-25 14:39:39,2022-08-25,12.4,12.61,12.62,12.3,12.4,85481617.0,1065089124.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,101600.0,503500.0,241500.0,337800.0,672165.0,199600.0,200400.0,125900.0,229100.0,79500.0,0.01693548387096766,52146.0
000001.XSHE,2022-08-25 14:39:42,2022-08-25,12.4,12.61,12.62,12.3,12.4,85496217.0,1065273224.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,101300.0,475600.0,241700.0,339300.0,673265.0,204700.0,200200.0,126900.0,227100.0,79500.0,0.01693548387096766,52168.0
000001.XSHE,2022-08-25 14:39:45,2022-08-25,12.4,12.61,12.62,12.3,12.4,85515317.0,1065514019.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,102000.0,479000.0,242700.0,341300.0,682965.0,202100.0,200200.0,126900.0,227100.0,74500.0,0.01693548387096766,52189.0
000001.XSHE,2022-08-25 14:39:48,2022-08-25,12.4,12.61,12.62,12.3,12.4,85554217.0,1066004541.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,116100.0,485000.0,245500.0,341500.0,685465.0,194400.0,200800.0,126900.0,227100.0,74500.0,0.01693548387096766,52216.0
000001.XSHE,2022-08-25 14:39:51,2022-08-25,12.4,12.61,12.62,12.3,12.4,85617917.0,1066807735.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,67100.0,484000.0,246400.0,353500.0,680365.0,188200.0,200800.0,126900.0,227100.0,74700.0,0.01693548387096766,52247.0
000001.XSHE,2022-08-25 14:39:54,2022-08-25,12.4,12.6,12.62,12.3,12.4,85666717.0,1067423053.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,379000.0,504300.0,247400.0,353500.0,692265.0,243900.0,200400.0,125400.0,227100.0,74700.0,0.016129032258064502,52267.0
000001.XSHE,2022-08-25 14:39:57,2022-08-25,12.4,12.61,12.62,12.3,12.4,85815617.0,1069300681.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,241600.0,562200.0,247400.0,354100.0,833165.0,250900.0,200400.0,125400.0,227100.0,74700.0,0.01693548387096766,52289.0
000001.XSHE,2022-08-25 14:40:00,2022-08-25,12.4,12.61,12.62,12.3,12.4,85872917.0,1070023159.0,13.64,11.16,12.61,12.62,12.63,12.64,12.65,12.6,12.59,12.58,12.57,12.56,194700.0,564900.0,247400.0,362000.0,836965.0,246100.0,200400.0,126000.0,227100.0,74700.0,0.01693548387096766,52300.0
